3,100
5,95
7,99
9,99
11,111
13,110
15,115
17,109
19,117
21,121
23,113
25,109
27,109
29,117
31,119
33,128
35,137
37,136
39,143
41,139
43,106
45,138
47,147
49,152
51,147
53,152
55,158
57,169
59,167
61,123
63,227
65,185
67,204
69,202
71,202
73,212
75,201
77,220
79,216
81,232
83,254
85,197
87,326
89,157
91,250
93,252
95,295
97,390
99,213
101,312
103,428
105,235
107,358
109,298
111,357
113,226
115,373
117,312
119,490
121,297
123,504
125,421
127,375
129,614
131,564
133,376
135,336
137,602
139,603
141,561
143,499
145,495
147,478
149,477
151,503
153,508
155,517
157,539
159,581
161,732
163,802
165,867
167,558
169,652
171,887
173,1008
175,564
177,861
179,1023
181,749
183,1037
185,568
187,1025
189,744
191,1117
193,615
195,1189
197,953
199,1341
201,1218
203,998
205,1391
207,1330
209,1369
211,720
213,1014
215,1523
217,1542
219,1518
221,1517
223,1586
225,1484
227,1661
229,1568
231,1727
233,1763
235,1778
237,1932
239,1860
241,1654
243,1747
245,1979
247,2160
249,822
251,2105
253,2271
255,1878
257,2193
259,1759
261,2171
263,2213
265,2379
267,2612
269,2600
271,877
273,2496
275,2593
277,2848
279,2759
281,2697
283,2370
285,2629
287,2752
289,2885
291,2960
293,3007
295,3102
297,3037
299,3066
